ID,Sujet,Catégorie,Époque,Pays/Région,Hook,Potentiel Viral (/10),Statut,Duree_Cible,Id_Video
23,Le Mary Celeste,Mystère maritime,1872,Atlantique,Un navire retrouvé vide.,10,En attente,60,23_le_mary_celeste
24,Le Grand Incendie de Londres,Catastrophe,1666,Angleterre,Une capitale détruite en quelques jours.,8,En attente,45,24_le_grand_incendie_de_londres
25,La peste noire,Pandémie,XIVe siècle,Europe,La maladie qui changea le continent.,9,En attente,35,25_la_peste_noire
26,Le mythe des tunnels templiers,Mystère,Moyen Âge,Europe,Des passages secrets existent-ils vraiment ?,7,En attente,60,26_le_mythe_des_tunnels_templiers
27,Les statues de l'île de Pâques,Civilisation,Antiquité,Rapa Nui,Comment ont-ils déplacé ces géants ?,10,En attente,35,27_les_statues_de_lîle_de_pâques
28,La bataille de Cannes,Bataille,216 av. J.-C.,Italie,Le plus grand piège militaire de l'histoire.,8,En attente,45,28_la_bataille_de_cannes
29,Le roi Crésus,Personnage,Antiquité,Lydie,L'homme le plus riche du monde antique.,8,En attente,35,29_le_roi_crésus
30,Les jardins suspendus,Merveille,Antiquité,Babylone,Ont-ils vraiment existé ?,9,En attente,35,30_les_jardins_suspendus
31,Les navires fantômes japonais,Mystère maritime,Divers,Japon,Des bateaux reviennent sans équipage.,8,En attente,60,31_les_navires_fantômes_japonais
32,La chute de Constantinople,Empire,1453,Turquie,La fin d'un empire millénaire.,9,En attente,45,32_la_chute_de_constantinople
33,Petra,Cité perdue,Antiquité,Jordanie,Une ville sculptée dans la roche.,9,En attente,35,33_petra
34,La Nef d'Or,Trésor,Époque moderne,Europe,Une fortune engloutie.,7,En attente,35,34_la_nef_dor
35,Teutobourg,Bataille,9 ap. J.-C.,Allemagne,Trois légions romaines anéanties.,9,En attente,45,35_teutobourg
36,Le tombeau du premier empereur,Archéologie,Antiquité,Chine,Pourquoi ce tombeau reste-t-il fermé ?,10,En attente,35,36_le_tombeau_du_premier_empereur
37,Les catacombes de Paris,Lieu insolite,XVIIIe siècle,France,Des millions d'ossements sous la ville.,9,En attente,35,37_les_catacombes_de_paris
38,Le Vasa,Naufrage,XVIIe siècle,Suède,Le navire qui coula dès son lancement.,8,En attente,35,38_le_vasa
39,Le code d'Hammourabi,Lois,Antiquité,Mésopotamie,L'un des premiers codes juridiques.,7,En attente,35,39_le_code_dhammourabi
40,Les guerriers celtes,Civilisation,Antiquité,Europe,Les pratiques qui choquaient Rome.,8,En attente,35,40_les_guerriers_celtes
41,Le San José,Trésor,XVIIIe siècle,Colombie,L'épave la plus riche du monde.,10,En attente,35,41_le_san_josé
42,Les mines du roi Salomon,Légende,Antiquité,Afrique,Un trésor réel ou imaginaire ?,8,En attente,60,42_les_mines_du_roi_salomon
43,George Mallory,Exploration,XXe siècle,Everest,A-t-il atteint le sommet avant tout le monde ?,9,En attente,35,43_george_mallory
44,La route de la soie,Commerce,Antiquité,Eurasie,L'autoroute commerciale du monde antique.,8,En attente,35,44_la_route_de_la_soie
45,Le phare d'Alexandrie,Merveille,Antiquité,Égypte,La tour qui guidait les marins.,8,En attente,35,45_le_phare_dalexandrie
46,Les samouraïs chrétiens,Personnages,XVIe siècle,Japon,Une histoire méconnue du Japon.,9,En attente,35,46_les_samouraïs_chrétiens
47,Le siège de Masada,Bataille,Ier siècle,Israël,Le dernier refuge des rebelles.,8,En attente,45,47_le_siège_de_masada
48,Port Royal,Catastrophe,1692,Jamaïque,La ville pirate engloutie.,9,En attente,45,48_port_royal
49,Les momies des Andes,Archéologie,Précolombien,Andes,Le froid les a conservées pendant des siècles.,9,En attente,35,49_les_momies_des_andes
50,Le royaume d'Aksoum,Civilisation,Antiquité,Éthiopie,Une superpuissance oubliée d'Afrique.,9,En attente,35,50_le_royaume_daksoum
